Dysbiosis_score,LPS_score,Pathogen_score,Protease_score,BVIPS,Cluster,BVIPS_100,Inflammatory_Endotype
0.7741696072266158,0.8249496424760593,1.5031473681381569,1.5983522949083797,1.175154728187303,1,68.25205631504345,High
-1.05731503208396,-0.6848225508896075,-0.6863250519325242,-0.7068124495888835,-0.7838187711237439,2,2.5954839257670663,Low
0.31999725605002294,0.7146866768551626,0.6614703671491691,0.7066479009737837,0.6007005502570346,3,48.99876252068353,Medium
-0.19718728558466952,-0.6917382604807033,-0.7951582506963465,-0.7145441090764428,-0.5996569764595405,2,8.76781459127212,Low
-0.7528578924940811,-0.6409406378638742,-0.6870821430689132,-0.5743597941501082,-0.6638101168942442,2,6.6176704926245975,Low
1.8331015151487646,1.8128932262379744,1.736606382022615,1.8391767656998326,1.8054444722772967,1,89.37672401658054,High
1.014196089581736,1.1154549277242323,1.5524665404470923,1.645363155485717,1.3318701783096945,1,73.50450066873047,High
-0.7302982158545944,-0.4227568785485361,-0.29947366494162747,-0.4410951439784372,-0.4734059758307988,2,12.999218418283972,Low
2.1315983273887507,2.0240592738926475,1.9494406931136368,2.050462106022508,2.0388901001043855,1,97.20084198845703,High
2.1561247614743815,2.040626202642632,1.9656137009413694,2.0627638804410946,2.056282136374869,1,97.78375007209956,High
-0.03728150082559616,-0.6912444139030608,-0.6731763142956877,-0.7144090127731826,-0.5290278104493817,2,11.135007895607835,Low
1.670731727292668,1.701677046857869,1.6193961869206193,1.7177029179212582,1.6773769697481036,1,85.08443866740201,High
-0.860355476494596,-0.6894149650219727,-0.7998691158477788,-0.7134495591002463,-0.7657722791161484,2,3.200326619803459,Low
-0.15544491855295364,-0.6620614683355944,-0.46339442882301646,-0.6847274519409235,-0.49140706691312197,2,12.39589737277306,Low
-0.8771166039253958,-0.619294701920003,-0.6919285027773062,-0.49529038029252354,-0.6709075472288072,2,6.37979440665255,Low
-0.4368441381396481,-0.6891748837201259,-0.7913340960697746,-0.7089035056224116,-0.65656415588799,2,6.860524703518376,Low
2.0047363371502493,1.930391319574987,1.8780734636288205,1.9561513051523447,1.9423381063766003,1,93.96482426399737,High
-0.6405210373281146,-0.6914965537058693,-0.8209921716615258,-0.7144310715439142,-0.716860208559856,2,4.839654003414328,Low
0.5425978960396104,0.8512340981340086,0.7911123961446944,0.8561810840358929,0.7602813685885516,3,54.34724199445285,Medium
1.6575570633475398,1.6432849138604726,1.9023075847491007,2.0016363347846977,1.8011964741854527,1,89.23434894395972,High
-0.7769184827331568,-0.6891357540495594,-0.8018078110718004,-0.7136614330699721,-0.7453808702311222,2,3.8837610889526886,Low
-0.8509716035837543,-0.31094432742861206,-0.2358923225730696,-0.2874065922679316,-0.4213037114633419,2,14.745467713279659,Low
-0.6606838440847698,-0.6838725279685217,-0.5178571447548095,-0.5856822381952755,-0.6120239387508442,2,8.353325903599732,Low
-0.8833607549973967,-0.6897845419019907,-0.8137569552499141,-0.7134963986522189,-0.7750996627003801,2,2.887711857165762,Low
-0.6711712381161846,-0.6900968821477065,-0.6427259564039999,-0.7103786462408337,-0.6785931807271812,2,6.122204218566335,Low
-0.4757064940393686,-0.6760738459169315,-0.8275809125130703,-0.692488958485527,-0.6679625527387243,2,6.478498265582825,Low
-0.3834066361412184,-0.6550527151450161,-0.6981196170246882,-0.7121779666294347,-0.6121892337350893,2,8.347785909259589,Low
0.29289872183621085,-0.6906892659205116,0.024141707346893013,0.050025561266050386,-0.08090581886783933,3,26.154176858254722,Medium
0.23748766261980023,-0.6917157793142854,-0.8331994626366145,-0.7138815221900936,-0.5003272753802983,2,12.096929411665585,Low
1.5823933637730465,1.638875500334731,1.5720964060312825,0.5295754618757329,1.3307351830036982,1,73.46646038819792,High
-0.4198667663909552,-0.6646737799944132,-0.03563809210863064,-0.7124128901655097,-0.45814788216487723,2,13.510605699250897,Low
0.20007860219906423,-0.35703266038356624,-0.7408973605119933,-0.683940635965061,-0.39544801366538906,2,15.612042220154597,Low
1.783275212503062,1.7354536717276492,1.6498957233657874,1.7523954542142475,1.7302550154526866,1,86.85668889785556,High
0.020526987179559555,-0.688713101471722,-0.8252068036292719,-0.7065227611187842,-0.5499789197600546,2,10.432814616538149,Low
-0.8406219140154348,-0.6906991219180382,-0.8176794320264725,-0.7137996493281497,-0.7657000293220239,2,3.202748129762483,Low
1.9844843968600212,1.9122519552752113,1.8328269386088973,1.932209410586417,1.9154431753326366,1,93.06341901904963,High
-0.654565022711467,-0.6845043657827932,-0.752359191074648,-0.7111439289741491,-0.7006431271357643,2,5.383182530389366,Low
-1.1473142284655788,-0.6732089368547732,-0.7765110604366952,-0.7104789841449966,-0.8268783024755111,2,1.1523091006661161,Low
0.0601326217624067,0.5207419516890792,0.46822446821018937,0.5045045699334358,0.3884009028987778,3,41.88336909147307,Medium
-0.35176049928161407,-0.6884197362525112,-0.06598762230386804,-0.7076025825400055,-0.4534426100944997,2,13.6683066770378,Low
-1.174109192205129,-0.5802869050524179,-0.6305864170963468,-0.4912475833472132,-0.7190575244252767,2,4.766009194931293,Low
-0.5484582335889994,-0.6795571726218832,-0.78429746279314,-0.6820747769401038,-0.6735969114860316,2,6.289658200574372,Low
-0.11845088318773923,-0.6883294707137868,-0.7572060765745375,-0.7050973693136677,-0.5672709499474329,2,9.853258317203604,Low
-0.9586980619032077,-0.631853233902924,-0.7131040862887894,-0.6487426264677196,-0.7380995021406602,2,4.127801996750836,Low
1.0497005916369067,1.2679272919694946,1.1966728057391973,1.2755029126184543,1.1974509004910132,1,68.99933046212975,High
-0.8061256346893391,-0.6909774359077285,-0.5695370344226427,-0.7137705143298472,-0.6951026548373893,2,5.568875915551015,Low
0.24147922999693722,-0.691925500490526,-0.7855492540633796,-0.7151840775504159,-0.4877949005268461,2,12.51696203439612,Low
-0.4816365828118071,-0.68925164573381,-0.5620824308146183,-0.7070301801602168,-0.6100002098801132,2,8.421152804343485,Low
2.0634423607631276,1.9735947422811169,1.9090317119422666,1.9984811136428695,1.9861374821573452,1,95.43279557017632,High
1.6603876725200224,1.683402309286296,1.6269845772660898,1.701079605354348,1.667963541106689,1,84.76894003546866,High
-0.2426774495453321,-0.6074266227740304,-0.6627504313662749,-0.6275119446518409,-0.5350916120843696,2,10.931774706827174,Low
-0.962458710974231,-0.6784319224185241,-0.7139482849361687,-0.6829297038763755,-0.7594421555513249,2,3.412485802259507,Low
2.1740908964148526,2.0534397928515045,1.978996494313177,2.075471977103749,2.070499790170821,1,98.26026617402125,High
-0.6259643406298014,-0.6557552873360161,-0.47621133954178757,-0.6784343969994792,-0.609091341126771,2,8.451614271595162,Low
-0.9057085394842129,-0.678971463867056,-0.7659241918482288,-0.6964522012331348,-0.7617640991081581,2,3.334663996463437,Low
-0.5580759296786217,-0.6896594804011614,-0.8171030201588453,-0.7088392492565224,-0.6934194198737876,2,5.625290889145475,Low
-0.2532364511652888,-0.679195395107578,-0.6634715373656707,-0.7008235836237198,-0.5741817418155644,2,9.621637569543275,Low
-0.7211428699602395,-0.6915926953853414,-0.23699088731020324,-0.71453315044698,-0.5910649007756911,2,9.05578491823632,Low
-0.7913870260229546,-0.6848234608615444,-0.752570364270145,-0.6935264679699439,-0.730576829781147,2,4.379930411202025,Low
-0.14259239431199489,-0.6915398629564041,0.20353566505345458,0.3009517841134071,-0.08241120202538434,3,26.1037227309826,Medium
1.9638255666269362,1.8987527963082564,1.8319872398746293,1.9182330826926575,1.9031996713756199,1,92.65306813674573,High
-0.5502981091772055,-0.13880673103301366,-0.1261725247698385,-0.15274156670308972,-0.24200473292078684,2,20.75481718541021,Low
-0.7943012007881213,-0.6614613760965373,-0.5447931685816191,-0.543201612532333,-0.6359393394996528,2,7.551782012865665,Low
-0.44522292608333164,-0.6783091058257279,-0.7382933708749441,-0.6736609975692208,-0.6338716000883061,2,7.621083962274874,Low
0.5282453787593286,0.6055367100228849,-0.4418748280780857,-0.4162522725634935,0.0689137470351586,3,31.17550010611877,Medium
0.5614850405368353,0.884961928739716,0.9346503799992922,0.8416082026126431,0.8056763879721216,3,55.86869257932201,Medium
0.8869002474970503,1.1432013548504054,1.1183439774675474,1.1881855402287653,1.084157780010942,1,65.20222041004236,High
-0.8207908610321413,-0.6906335874387759,-0.7437912781003744,-0.7122042262174945,-0.7418549881971965,2,4.0019338611101,Low
0.9942592637165134,1.1959091239853508,1.124392174389212,1.2166090926223654,1.1327924136783603,1,66.83224927318614,High
-0.8777732091327151,-0.4200643947129674,-0.36650072890589486,-0.3890516784600615,-0.5133475028029097,2,11.660546017710448,Low
-0.27033375761443335,-0.6768842223274772,-0.7641018824769048,-0.713589342151631,-0.6062273011426116,2,8.54760487514946,Low
0.9431245625301342,0.43233210496652763,0.34819034115043995,0.4298124861345244,0.5383648736954065,3,46.90953218548888,Medium
0.22562643711219224,-0.6899729045906965,-0.6915688507134279,-0.7102074628506181,-0.46653069526063756,2,13.229648976231863,Low
-0.11422803093141676,-0.6410115809869897,-0.46730225366137623,-0.6634302223992292,-0.47149302199475296,2,13.063332604646298,Low
0.9458283339666657,-0.6829316154916937,-0.7643037339415927,-0.706862278000807,-0.30206732336685693,2,18.741771159572313,Low
-0.44415138187673814,0.08007244066104795,0.12305156980941813,0.06954964581962994,-0.04286943139666053,3,27.428996976192156,Medium
-0.6149152501368825,-0.6908335456464105,-0.7647130486555503,-0.7151840775504159,-0.6964114804973147,2,5.525009570898547,Low
-0.2445006489394642,0.19692509468920044,0.2598645321627764,0.19666760231854508,0.10223914505776444,3,32.29242762374072,Medium
-0.6627068210228938,-0.6629792958359081,-0.7678380366863378,-0.6434472892375235,-0.6842428606956658,2,5.9328506505076,Low
-0.6980813446066975,-0.691925500490526,-0.6755500169113525,-0.7151840775504159,-0.695185234889748,2,5.566108178678871,Low
-0.49995627409676385,-0.6408000768888104,-0.7822042753680024,-0.6632152290817279,-0.6465439638588262,2,7.196359498398763,Low
-0.25321832543362977,-0.6665394393212557,-0.7991129486260722,-0.711644060741587,-0.6076286935306362,2,8.500636082155335,Low
0.943922888622443,1.85297077713648,1.788307594548973,1.3225819160527381,1.4769457940901585,1,78.36682661278168,High
1.393366056102774,1.8705281238338038,1.8029079038821305,1.8919042224028744,1.7396765765553956,1,87.17246009576996,High
-0.839528673709443,-0.6155442900726352,-0.6798574278956048,-0.6967993238828252,-0.707932428890127,2,5.138875719464707,Low
2.0338800176017306,1.9529982515275626,1.8807263716602896,1.9755409295268052,1.960786392579097,1,94.58313341363022,High
1.87032250203034,1.8458072395931022,1.7745699803843806,1.864886380327741,1.838896525583891,1,90.49789648791145,High
-0.21897473775690815,-0.6445402226351665,0.22402126048415957,0.3035353627814079,-0.08398958428162678,3,26.050821980206045,Medium
-1.0734898079266828,-0.6892781950096947,-0.7452105160449811,-0.7148298752535469,-0.8057020985587264,2,1.862046606498339,Low
-0.7501555777775953,-0.6096890776854571,-0.686705526171637,-0.5243924079094554,-0.6427356473860362,2,7.323998287930603,Low
-0.5305702562385606,-0.4908629305696891,-0.6847198716274664,-0.7029224547052079,-0.602268878285231,2,8.680274600888158,Low
-0.5251450795826043,-0.21223012377534536,-0.06887012386866077,-0.21903322664460628,-0.25631963846780415,2,20.275041612834094,Low
-0.8570346929988961,-0.6759550742652625,-0.7943204047460419,-0.7066315466744829,-0.7584854296711708,2,3.4445512396067315,Low
-0.18627728854266873,-0.6309084544875904,-0.7304401907651684,-0.7026022826491454,-0.5625570541111433,2,10.011248327440956,Low
1.3389563842388266,1.4527841041469776,1.3823023705242978,1.4654119561394772,1.409863703762395,1,76.11851640277743,High
-1.146105162197768,-0.6905663255069351,-0.667253387008863,-0.7133876980059509,-0.8043281431798792,2,1.908095826062894,Low
-0.42452003136374517,-0.6910402883754161,-0.8342223752715913,-0.7144413939192932,-0.6660560222325114,2,6.542397168879656,Low
1.0579956118115832,1.948583046974558,1.8845247547511352,1.1664629560888358,1.514391592406528,1,79.62185266019765,High
-0.27269678324777474,-0.6869784235922395,-0.4588783053796307,-0.7105202454875502,-0.5322684394267988,2,11.026395609062153,Low
